Team,Region,Power rating,1st,2nd,Sweet 16,Elite Eight,Final Four,Champ.,Win
Villanova 1,East,94.9,✓,99%,86%,67%,50%,29%,18%
Virginia 1,South,93.1,✓,98%,83%,61%,41%,26%,14%
Duke 2,Midwest,92.6,✓,96%,81%,47%,29%,16%,10%
Kansas 1,Midwest,90.9,✓,95%,76%,62%,32%,15%,8%
Michigan St. 3,Midwest,91.7,✓,92%,75%,40%,24%,12%,7%
Cincinnati 2,South,91.1,✓,93%,78%,53%,25%,15%,7%
Purdue 2,East,91.1,✓,98%,73%,50%,20%,10%,5%
UNC 2,West,90.6,✓,96%,79%,46%,25%,12%,5%
Gonzaga 4,West,89.5,✓,92%,70%,43%,24%,10%,4%
Xavier 1,West,88.9,✓,98%,70%,34%,17%,7%,3%
Michigan 3,West,88.5,✓,89%,55%,27%,14%,6%,2%
Kentucky 5,South,88.2,✓,76%,40%,16%,8%,4%,2%
Tennessee 3,South,87.2,✓,91%,59%,27%,10%,5%,2%
W. Virginia 5,East,88.6,✓,84%,44%,14%,8%,4%,2%
Wichita St. 4,East,88,✓,91%,50%,13%,6%,3%,1%
Arizona 4,South,87.9,✓,85%,48%,15%,6%,3%,1%
Houston 6,West,86.2,✓,72%,34%,15%,7%,3%,1%
Texas Tech 3,East,87.3,✓,89%,53%,20%,6%,3%,1%
Florida 6,East,86.4,✓,66%,32%,13%,4%,2%,0.70%
Ohio State 5,West,85.6,✓,77%,24%,11%,5%,2%,0.60%
TCU 6,Midwest,84.8,✓,57%,14%,5%,2%,0.80%,0.40%
Seton Hall 8,Midwest,85.1,✓,63%,16%,10%,3%,0.90%,0.30%
Auburn 4,Midwest,84,✓,80%,42%,11%,3%,0.90%,0.30%
Butler 10,East,84.7,✓,60%,17%,9%,2%,0.80%,0.30%
Clemson 5,Midwest,84.2,✓,62%,35%,10%,3%,0.80%,0.30%
Texas A&M 7,West,83.6,✓,58%,13%,5%,2%,0.80%,0.30%
Miami 6,South,83.9,✓,60%,25%,8%,2%,0.90%,0.30%
Florida State 9,West,83.6,✓,71%,21%,7%,3%,0.80%,0.30%
Texas 10,South,82.9,✓,60%,13%,5%,1%,0.60%,0.20%
Creighton 8,South,83.4,✓,58%,10%,4%,1%,0.50%,0.20%
Virginia Tech 8,East,83.4,✓,59%,9%,3%,1%,0.40%,0.20%
Arkansas 7,East,83.3,✓,40%,9%,4%,0.90%,0.30%,0.10%
SDSU 11,West,81.7,✓,28%,9%,4%,2%,0.40%,0.10%
Kansas State 9,South,81.5,✓,42%,7%,3%,0.90%,0.40%,0.10%
Rhode Island 7,Midwest,83.1,✓,58%,11%,3%,1%,0.30%,<0.1%
Oklahoma 10,Midwest,82.1,✓,42%,7%,2%,0.70%,0.20%,<0.1%
UCLA 11,East,83.2,54%,21%,9%,3%,0.60%,0.20%,<0.1%
Missouri 8,West,78.5,✓,29%,8%,3%,0.90%,0.30%,<0.1%
Alabama 9,East,82.2,✓,41%,5%,2%,0.60%,0.20%,<0.1%
Loyola (IL) 11,South,81.3,✓,40%,14%,4%,0.80%,0.30%,<0.1%
Davidson 12,South,81.9,✓,24%,8%,2%,0.70%,0.20%,<0.1%
NC State 9,Midwest,81.7,✓,37%,7%,3%,0.80%,0.20%,<0.1%
Nevada 7,South,81.8,✓,40%,7%,3%,0.50%,0.20%,<0.1%
Syracuse 11,Midwest,81.9,59%,27%,6%,2%,0.60%,0.20%,<0.1%
Providence 10,West,81.3,✓,42%,8%,2%,0.70%,0.20%,<0.1%
NM State 12,Midwest,79.8,✓,38%,18%,3%,0.60%,0.10%,<0.1%
Arizona St. 11,Midwest,81.3,41%,16%,3%,0.80%,0.30%,<0.1%,<0.1%
St. Bon. 11,East,80.3,46%,13%,4%,1%,0.30%,<0.1%,<0.1%
S. Dakota St. 12,West,78.1,✓,23%,4%,1%,0.20%,<0.1%,<0.1%
Buffalo 13,South,79.1,✓,15%,4%,0.60%,0.10%,<0.1%,<0.1%
Murray St. 12,East,78.9,✓,16%,4%,0.50%,0.10%,<0.1%,<0.1%
UNC-Greens. 13,West,78,✓,8%,3%,0.60%,0.10%,<0.1%,<0.1%
Bucknell 14,Midwest,78.3,✓,8%,3%,0.40%,<0.1%,<0.1%,<0.1%
Georgia St. 15,South,76,✓,7%,2%,0.70%,0.10%,<0.1%,<0.1%
Montana 14,West,76.8,✓,11%,2%,0.50%,0.10%,<0.1%,<0.1%
Charleston 13,Midwest,76.4,✓,20%,5%,0.70%,<0.1%,<0.1%,<0.1%
Penn 16,Midwest,75.6,✓,5%,1%,0.30%,<0.1%,<0.1%,<0.1%
Marshall 13,East,75.6,✓,9%,1%,0.10%,<0.1%,<0.1%,<0.1%
SF Austin 14,East,74.8,✓,11%,2%,0.20%,<0.1%,<0.1%,<0.1%
Wright State 14,South,74.3,✓,9%,2%,0.30%,<0.1%,<0.1%,<0.1%
Iona 15,Midwest,74.8,✓,4%,1%,0.10%,<0.1%,<0.1%,<0.1%
Lipscomb 15,West,72.5,✓,4%,0.70%,<0.1%,<0.1%,<0.1%,<0.1%
UMBC 16,South,71.4,✓,2%,0.30%,<0.1%,<0.1%,<0.1%,<0.1%
Radford 16,East,70.9,67%,1%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
CSU-Full. 15,East,71.9,✓,2%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
TXSO 16,West,67.9,58%,1%,0.10%,<0.1%,<0.1%,<0.1%,<0.1%
Long Island 16,East,67.6,33%,0.30%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
NC Central 16,West,65.3,42%,0.80%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
